,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,y
72,37,3,0,5,1,1,0,0,0,3,266,1,999,0,0,0
73,45,4,2,4,0,1,0,0,0,3,850,6,999,0,0,0
74,36,2,0,1,0,1,0,0,0,4,143,3,999,0,0,0
75,35,11,1,6,1,1,0,0,1,0,178,4,999,0,0,0
76,65,5,0,5,0,0,0,1,0,1,318,1,999,0,0,0
77,52,5,0,0,0,1,0,0,0,3,138,1,999,0,0,0
78,38,3,0,3,0,0,0,1,5,1,180,2,999,1,1,0
79,25,2,1,5,0,1,0,0,5,0,643,4,999,0,0,0
80,28,8,1,6,0,1,1,1,7,4,3076,1,999,0,0,1
81,53,3,0,3,0,1,0,1,3,1,241,1,999,0,0,0
82,37,2,0,6,0,1,0,0,5,2,119,1,6,1,2,0
83,55,4,0,4,0,0,0,1,5,4,348,2,999,0,0,0
84,57,5,0,6,0,1,0,0,0,1,768,1,999,0,0,0
85,46,6,0,6,0,1,0,1,0,3,458,2,999,0,0,0
86,33,8,0,0,0,0,0,1,3,2,263,7,999,0,0,0
87,31,2,1,6,1,0,0,1,3,3,69,3,999,0,0,0
88,58,5,0,0,0,0,0,1,2,1,81,1,999,0,0,0
89,30,4,1,6,0,1,0,0,1,2,263,1,999,2,1,1
90,26,1,1,1,0,1,0,1,0,0,274,1,999,0,0,0
91,32,2,1,6,0,0,0,1,0,4,800,5,999,0,0,0
92,29,4,1,6,0,0,0,0,0,0,1147,2,999,0,0,0
93,41,4,0,4,0,1,0,1,5,4,82,5,5,1,2,0
94,36,2,0,6,1,0,0,1,3,1,97,3,999,0,0,0
95,36,3,0,0,0,1,0,0,1,4,86,3,999,0,0,0
96,35,4,1,6,0,1,0,0,0,2,412,1,999,0,0,1
97,56,4,0,4,0,1,0,0,0,0,483,5,999,0,0,1
98,35,2,0,6,0,0,0,1,1,3,510,3,999,0,0,1
99,42,1,0,4,0,0,0,0,0,1,107,1,999,0,0,0
100,46,2,1,1,0,2,2,0,0,3,257,1,999,0,0,0
101,28,3,1,1,0,0,0,1,2,0,194,3,999,0,0,0
102,65,5,0,0,0,1,0,0,4,3,138,4,999,0,0,0
103,32,4,1,4,0,1,1,1,0,0,214,3,999,1,1,0
104,41,4,0,4,0,1,0,1,3,2,84,2,999,0,0,0
105,39,2,1,1,0,0,0,1,0,3,387,10,999,0,0,0
106,42,3,0,2,1,1,0,0,1,3,108,4,999,0,0,0
107,48,4,2,4,0,1,0,1,5,3,89,1,999,1,1,0
108,48,10,0,0,0,0,0,0,0,3,348,1,999,0,0,0
109,30,2,0,1,0,1,0,1,5,2,193,2,999,0,0,0
110,49,4,0,1,0,1,0,0,0,2,418,2,999,0,0,0
111,48,1,2,1,0,1,0,1,8,0,436,1,999,0,0,0
112,50,3,0,0,1,1,0,1,3,4,80,1,999,0,0,0
113,28,2,0,1,0,2,2,1,2,1,502,3,999,0,0,0
114,56,4,0,0,1,1,1,1,2,2,138,6,999,0,0,0
115,38,6,0,2,1,1,0,0,1,0,166,3,999,0,0,0
116,28,11,0,6,1,1,0,0,8,4,98,1,999,0,0,0
117,34,4,0,4,0,1,1,1,9,4,120,1,6,3,2,0
118,27,8,0,6,0,0,0,0,2,2,215,3,999,0,0,0
119,35,2,1,6,0,0,1,0,3,4,91,1,999,0,0,0
120,50,2,0,6,0,1,0,1,8,4,160,1,999,0,0,1
121,47,6,0,3,0,0,0,1,5,2,169,1,999,0,0,0
122,30,2,0,6,0,1,0,0,0,4,242,3,999,0,0,0
123,52,3,1,5,1,0,0,0,0,4,67,2,999,0,0,0
124,28,6,1,6,0,1,0,1,0,1,245,1,999,0,0,0
125,34,2,1,1,0,1,0,0,1,3,191,3,999,0,0,0
126,34,2,1,1,0,0,0,0,0,4,176,2,999,0,0,0
127,44,3,0,0,1,1,1,1,3,2,310,1,999,0,0,0
128,49,4,0,1,1,0,0,1,3,4,114,2,999,0,0,0
129,34,4,2,6,0,1,0,1,5,4,526,1,999,0,0,0
130,39,3,0,2,1,1,0,0,0,0,399,3,999,0,0,0
131,43,10,0,6,0,0,0,1,9,0,255,1,3,1,2,1
132,55,2,0,1,0,0,0,0,4,0,317,2,10,3,2,0
133,37,2,2,1,0,0,0,1,5,0,131,2,999,0,0,0
134,49,6,0,6,0,1,0,1,8,3,240,1,999,1,1,1
135,28,2,1,6,0,1,0,1,2,3,13,10,999,0,0,0
136,46,4,2,4,0,1,0,1,2,3,165,3,999,0,0,0
137,34,4,0,4,0,0,0,0,1,4,1994,2,999,0,0,0
138,31,2,0,1,0,0,0,0,0,0,220,3,999,0,0,0
139,53,3,0,3,1,1,0,0,0,2,489,2,999,0,0,0
140,42,3,2,0,0,0,1,0,0,4,57,1,999,0,0,0
141,44,7,2,2,0,0,0,1,0,0,208,1,999,0,0,0
142,32,4,0,4,1,1,0,1,3,1,796,4,999,0,0,1
143,55,4,0,1,1,1,0,1,5,2,285,2,999,0,0,0
144,32,4,1,6,0,0,0,1,3,3,64,1,999,0,0,0
145,44,4,1,6,0,1,0,0,2,2,185,2,999,0,0,0
146,33,6,0,3,0,1,0,0,0,2,192,1,999,0,0,0
147,42,2,1,1,0,1,0,1,5,0,124,1,999,1,1,0
148,29,10,0,4,0,1,0,1,2,3,125,1,999,0,0,0
149,31,1,1,1,1,1,0,0,0,2,317,1,999,0,0,0
150,55,6,0,6,0,0,0,1,3,0,106,6,999,0,0,0
151,54,3,2,0,1,0,1,0,1,2,138,1,999,0,0,0
152,34,3,0,3,0,0,1,1,2,1,215,2,999,0,0,0
153,53,6,0,6,0,0,0,1,3,2,50,2,999,0,0,0
154,32,4,0,6,0,0,0,1,3,1,224,1,999,0,0,0
155,32,2,0,6,0,0,0,0,2,3,136,1,999,0,0,0
156,29,8,2,6,0,2,2,1,5,3,173,2,999,0,0,0
157,46,8,0,6,0,1,0,1,3,3,140,3,999,0,0,0
158,48,3,0,4,0,0,0,0,2,3,268,1,999,0,0,1
159,35,10,0,6,0,1,1,0,4,0,2429,1,999,0,0,0
160,52,4,0,4,0,1,0,0,2,3,293,20,999,0,0,0
161,43,2,0,1,0,1,0,1,2,0,24,28,999,0,0,0
162,27,3,0,3,1,0,0,0,0,2,151,2,999,0,0,0
163,23,2,1,1,0,1,0,1,0,3,638,1,6,1,2,0
164,69,5,2,0,0,0,0,1,8,0,92,1,999,0,0,0
165,39,6,2,3,1,1,0,1,2,3,86,1,999,0,0,0
166,52,3,0,3,0,1,0,0,0,1,319,1,999,0,0,0
167,55,6,0,3,0,1,0,1,2,2,90,1,999,0,0,0
168,48,3,0,0,1,0,0,0,1,0,349,2,999,0,0,0
169,54,3,0,6,0,0,1,0,0,3,106,4,999,0,0,0
170,27,11,1,1,0,0,0,0,4,1,187,1,999,0,0,1
171,47,0,0,0,1,0,0,1,2,0,78,1,999,0,0,0
172,33,2,1,1,0,0,0,1,5,2,578,1,999,0,0,0
173,34,6,1,6,0,0,0,0,0,1,290,1,999,0,0,0
174,42,3,0,4,0,0,0,1,4,2,287,1,999,0,0,1
175,49,3,0,0,1,0,0,0,1,3,67,3,999,0,0,0
176,38,7,0,0,1,0,0,1,2,1,195,1,999,0,0,0
177,50,6,2,4,0,0,0,0,0,0,39,3,999,0,0,0
178,33,2,1,1,0,1,1,0,1,4,15,26,999,0,0,0
179,29,2,1,6,0,0,0,1,1,2,174,1,999,0,0,1
180,59,5,0,4,1,1,0,0,1,4,435,4,999,0,0,0
181,42,3,0,2,0,1,0,1,0,3,219,1,999,0,0,0
182,72,5,0,0,0,0,0,1,9,4,230,1,3,2,2,1
183,33,1,0,4,0,0,0,0,0,0,76,2,999,0,0,0
184,30,2,1,1,0,0,0,1,2,3,160,4,999,0,0,0
185,33,1,0,1,0,0,0,1,1,0,472,1,999,1,1,0
186,33,2,1,6,0,0,0,1,0,3,17,5,999,0,0,0
187,31,4,2,1,0,0,0,1,3,4,129,3,999,0,0,0
188,22,3,1,3,0,1,0,0,0,1,195,1,999,0,0,0
189,50,2,2,6,0,0,0,1,2,0,371,2,999,0,0,0
190,25,1,1,5,0,0,0,0,2,4,662,4,999,0,0,0
191,35,1,0,1,0,1,1,1,1,1,126,1,999,1,1,0
192,40,3,0,5,0,0,0,1,2,1,117,3,999,0,0,0
193,35,7,0,0,1,2,2,0,0,3,71,4,999,0,0,0
194,41,3,1,3,0,0,0,1,0,4,195,1,999,0,0,0
195,57,2,0,6,0,1,0,1,2,0,564,2,999,0,0,0
196,30,6,1,6,0,1,0,1,8,2,692,1,999,0,0,0
197,30,1,2,1,0,2,2,1,0,4,186,4,999,1,1,0
198,45,8,2,4,0,1,0,0,3,0,5,1,999,1,1,0
199,37,2,0,6,0,0,1,0,0,2,243,1,999,0,0,0
200,38,3,0,3,1,0,0,0,1,0,464,1,999,0,0,0
201,34,4,0,4,0,0,0,1,0,1,278,2,999,0,0,0
202,33,1,1,2,1,1,0,0,0,2,230,1,999,0,0,0
203,56,2,0,6,0,0,0,1,2,4,139,5,999,0,0,0
204,53,2,0,6,0,0,1,0,0,1,37,13,999,0,0,0
205,57,5,1,6,0,1,0,1,2,4,75,1,999,0,0,0
206,18,11,1,5,0,2,2,1,9,3,72,2,999,0,0,0
207,32,2,1,1,0,0,1,0,1,4,180,2,999,0,0,0
208,34,0,1,6,0,0,0,0,1,3,267,2,999,0,0,0
209,40,6,0,2,0,1,0,1,8,3,179,1,999,0,0,0
210,42,6,0,1,0,1,0,1,3,1,671,1,999,0,0,0
211,42,9,0,6,0,0,1,1,2,2,255,1,999,0,0,0
212,37,6,1,6,0,1,0,1,5,1,242,2,999,1,1,0
213,48,3,0,2,0,1,0,0,0,4,290,5,999,0,0,1
214,28,3,0,4,1,1,0,1,0,2,573,7,999,1,1,0
215,44,8,0,6,0,0,0,1,3,3,107,3,999,0,0,0
216,45,2,2,6,0,0,1,1,3,3,205,4,999,0,0,0
217,27,3,0,0,1,0,0,0,0,3,438,2,999,0,0,0
218,46,2,1,6,0,1,0,1,0,0,801,5,999,1,1,1
219,32,3,0,0,0,1,0,1,2,1,117,1,999,0,0,0
220,26,2,1,1,0,1,0,1,0,3,24,2,999,0,0,0
221,30,3,1,0,1,0,0,0,1,4,402,22,999,0,0,0
222,60,5,0,6,1,1,0,1,3,0,174,1,999,0,0,0
223,38,3,2,0,0,1,0,1,2,1,85,3,999,0,0,0
224,44,2,0,1,0,0,0,1,2,3,42,3,999,0,0,0
225,50,9,0,5,1,1,0,0,2,1,237,1,999,0,0,0
226,56,2,0,4,0,1,0,1,3,2,106,1,999,0,0,0
227,43,4,0,1,0,1,0,0,1,4,17,37,999,0,0,0
228,53,3,0,0,1,0,0,1,2,4,93,4,999,0,0,0
229,30,3,0,6,0,0,0,0,0,3,558,13,999,0,0,0
230,33,3,2,2,1,1,0,0,0,1,226,1,999,0,0,0
231,25,3,0,0,0,1,1,1,2,3,309,2,999,0,0,0
232,30,3,0,2,1,1,0,1,2,4,474,2,999,0,0,1
233,29,11,1,4,0,0,0,0,5,4,232,2,999,0,0,0
234,53,2,0,6,0,1,1,0,6,0,824,1,6,2,2,1
235,30,3,0,0,0,1,0,1,8,0,42,3,999,0,0,0
236,46,3,0,0,0,0,0,0,0,3,246,3,999,0,0,0
237,45,2,0,5,1,0,0,1,3,3,54,4,999,0,0,0
238,47,2,0,6,0,0,0,1,3,3,93,1,999,0,0,0
239,34,3,1,1,0,1,0,1,0,2,39,1,10,1,2,0
240,35,4,0,1,0,1,0,1,3,1,603,1,999,0,0,0
241,36,4,0,4,1,0,0,0,0,4,90,1,999,0,0,0
242,33,4,0,6,0,0,1,1,0,3,169,3,999,1,1,0
243,46,4,0,4,0,0,1,0,1,4,197,3,999,0,0,0
244,58,5,2,1,0,1,0,1,1,1,145,2,999,0,0,0
245,46,2,1,1,0,0,0,1,3,3,329,2,9,4,1,0
246,32,10,1,6,0,0,0,1,5,3,459,1,999,0,0,0
247,57,6,0,6,0,1,0,0,0,1,379,2,999,0,0,0
248,32,3,1,3,0,0,0,0,0,1,122,7,999,0,0,0
249,33,6,1,1,0,0,0,0,1,3,15,1,999,0,0,0
250,44,2,1,3,1,0,0,0,0,1,134,1,999,0,0,0
251,53,6,0,1,0,0,0,1,5,3,184,1,999,1,1,0
252,53,0,1,0,1,0,0,0,0,3,54,15,999,0,0,0
253,44,2,1,4,0,1,0,1,5,3,931,4,999,0,0,1
254,38,4,0,4,1,0,0,1,5,2,135,4,999,0,0,0
255,41,3,0,3,0,0,0,0,1,0,644,1,999,0,0,0
256,58,2,0,0,0,0,0,1,5,4,505,7,999,0,0,0
257,46,3,0,3,0,1,1,1,5,2,814,1,999,0,0,1
258,40,3,1,5,0,0,1,0,1,4,274,2,999,0,0,0
259,34,2,0,6,0,0,0,0,0,1,174,1,999,0,0,0
260,50,2,0,3,0,1,1,0,0,1,112,2,999,0,0,0
261,33,4,2,4,0,0,0,0,0,0,1218,3,999,0,0,1
262,31,0,1,6,0,1,0,1,3,1,348,1,999,0,0,0
263,32,2,1,6,0,0,0,0,0,4,588,3,999,0,0,1
264,32,6,1,6,0,0,0,0,0,2,59,1,999,0,0,0
265,38,2,0,6,0,1,0,0,3,4,20,1,999,0,0,0
266,40,8,0,1,0,0,0,1,2,0,353,2,999,0,0,0
267,29,3,0,1,1,0,0,0,1,3,124,2,999,0,0,0
268,32,3,1,0,0,1,0,0,2,1,49,7,999,0,0,0
269,46,4,0,4,0,1,0,1,5,0,61,1,999,1,1,0
270,22,1,1,1,0,0,0,1,0,4,51,4,999,0,0,0
271,44,1,2,1,0,1,1,0,2,0,112,1,999,0,0,0
272,42,8,0,6,0,1,0,1,1,2,436,1,3,1,2,1
273,39,4,1,4,0,1,0,0,2,3,452,1,999,0,0,0
274,76,5,0,6,0,0,1,1,7,3,167,9,999,0,0,0
275,45,3,0,0,1,0,0,0,0,4,108,5,999,0,0,0
276,51,10,2,1,0,0,0,1,2,4,347,2,999,0,0,0
277,33,11,1,5,0,0,0,0,1,4,137,3,999,0,0,0
278,30,4,0,6,0,1,0,0,0,4,104,6,999,0,0,0
279,29,1,2,1,0,1,0,1,0,4,548,1,999,0,0,0
280,32,4,1,4,0,1,0,1,3,2,281,2,999,0,0,0
281,40,2,0,6,0,1,0,1,5,3,20,6,999,0,0,0
282,60,5,0,1,0,0,0,0,2,0,188,7,999,0,0,0
283,44,6,2,3,1,0,0,0,0,0,129,1,999,0,0,0
284,55,1,1,1,0,0,1,1,0,2,107,2,999,0,0,0
285,39,2,0,1,1,1,1,1,7,1,210,1,999,0,0,0
286,40,4,1,4,0,1,0,0,1,4,87,3,999,0,0,0
287,36,4,0,4,0,0,0,0,1,4,193,3,999,0,0,0
288,82,5,0,6,0,0,0,1,3,4,79,2,999,2,1,0
289,43,2,0,1,0,0,1,1,6,0,415,2,8,2,1,1
290,47,3,0,2,1,1,0,0,1,3,86,2,999,0,0,0
291,51,2,0,3,0,0,1,1,5,1,110,5,999,0,0,0
292,49,0,0,0,1,1,0,0,0,2,158,10,999,0,0,0
293,31,2,0,6,0,1,0,0,0,1,99,1,999,0,0,0
294,44,2,0,6,0,0,0,1,5,4,77,5,999,0,0,0
295,39,3,0,3,0,1,0,1,0,2,219,1,999,0,0,0
296,47,4,0,4,0,2,2,0,0,0,89,1,999,0,0,0
297,38,4,0,4,0,1,0,0,0,1,114,3,999,0,0,0
298,26,4,0,3,1,1,0,0,2,2,367,6,999,0,0,1
299,30,2,0,6,0,0,0,1,5,4,221,1,999,0,0,0
300,60,5,0,1,0,1,0,1,3,1,443,2,999,2,1,1
301,52,2,2,1,0,0,0,1,2,4,87,5,999,0,0,0
302,45,2,2,6,0,1,0,1,5,1,140,3,999,1,1,0
303,42,1,0,1,0,1,0,0,0,4,128,1,999,0,0,0
304,65,5,0,2,0,0,0,1,3,0,161,2,999,1,1,1
305,50,3,0,5,0,1,0,1,3,1,1398,1,999,0,0,0
306,34,3,0,3,0,1,0,0,0,1,96,2,999,0,0,0
307,33,2,1,4,0,0,0,0,1,3,122,1,999,0,0,0
308,56,4,0,0,0,0,0,1,4,3,306,3,3,1,2,1
309,30,3,0,0,1,1,0,0,0,3,162,2,999,0,0,0
310,66,5,0,0,0,1,0,1,8,2,512,11,999,0,0,1
311,22,11,1,2,0,1,0,1,3,3,293,2,4,2,2,1
312,48,3,2,0,0,1,0,1,5,4,456,1,999,1,1,0
313,48,0,0,4,0,0,0,1,2,2,388,3,6,1,2,1
314,53,1,0,6,0,0,0,0,0,4,45,2,999,0,0,0
315,33,3,0,3,0,0,0,1,5,3,593,1,999,0,0,1
316,41,3,1,1,0,1,0,0,0,2,125,2,999,0,0,0
317,31,4,0,6,0,0,0,1,5,2,690,3,999,0,0,0
318,51,2,0,6,0,1,0,1,3,2,519,9,999,0,0,1
319,25,2,0,1,0,0,0,0,2,2,156,7,999,0,0,0
320,33,2,1,6,0,0,0,1,3,2,27,4,999,0,0,0
321,25,3,1,3,0,1,0,1,0,0,165,1,999,0,0,0
322,34,2,2,6,0,0,0,1,5,3,493,2,999,1,1,1
323,26,11,1,1,0,0,0,1,7,2,236,2,999,0,0,0
324,58,5,2,6,0,1,0,1,8,2,48,1,999,0,0,0
325,33,2,0,6,0,0,0,1,2,0,158,3,999,0,0,0
326,26,7,1,6,0,1,0,1,3,3,203,1,3,3,2,1
327,33,2,0,3,0,0,0,0,0,0,511,1,999,0,0,0
328,35,2,1,6,0,0,1,1,0,4,174,2,999,0,0,0
329,60,2,0,5,1,0,1,0,0,0,213,2,999,0,0,0
330,32,3,0,3,0,1,0,0,0,0,166,1,999,0,0,0
331,33,8,0,6,0,1,1,1,5,2,208,1,999,0,0,0
332,25,11,1,1,0,1,0,1,4,0,189,1,6,4,2,0
333,45,4,0,4,0,0,0,0,0,3,455,2,999,0,0,0
334,35,3,0,1,0,1,0,1,5,2,661,1,999,0,0,0
335,60,5,2,0,0,0,0,1,8,1,465,4,999,0,0,1
336,44,2,2,6,0,0,0,0,1,4,39,2,999,0,0,0
337,28,3,1,3,0,1,0,1,0,2,294,1,999,0,0,0
338,36,4,0,1,0,0,0,1,2,2,1165,4,999,0,0,0
339,41,3,0,0,0,1,0,0,0,2,188,2,999,0,0,0
340,29,2,1,3,1,1,0,1,0,3,983,4,999,0,0,1
341,39,6,0,1,0,0,0,0,5,2,47,1,999,0,0,0
342,50,4,1,6,0,1,0,1,3,3,178,5,999,0,0,0
343,38,2,1,1,0,1,1,1,3,0,167,1,999,0,0,1
344,51,2,1,6,0,1,1,1,1,4,263,2,999,0,0,0
345,30,2,1,6,0,0,1,0,2,1,215,1,999,0,0,0
346,44,1,0,1,0,0,1,1,0,3,786,1,999,0,0,1
347,41,0,0,6,1,0,0,0,0,4,104,1,999,0,0,0
348,38,3,0,2,0,2,2,1,2,3,226,1,999,0,0,0
349,42,4,2,3,0,1,0,1,2,0,299,3,999,0,0,0
350,26,4,0,4,0,1,0,1,2,1,136,1,999,0,0,0
351,43,2,0,6,0,1,0,1,3,3,24,13,999,0,0,0
352,32,11,1,6,0,0,0,1,5,3,151,2,999,0,0,0
353,40,4,0,4,0,1,0,0,0,0,68,3,999,0,0,0
354,34,2,0,1,0,1,0,0,0,0,188,2,999,0,0,0
355,49,6,0,6,0,0,0,1,5,2,139,2,999,0,0,0
356,35,3,1,5,0,0,0,0,1,0,136,1,999,0,0,0
357,27,4,1,4,0,0,0,0,1,4,112,5,999,0,0,0
358,49,0,2,0,1,1,0,1,2,1,129,1,999,0,0,0
359,34,2,0,6,0,0,0,1,5,1,140,2,999,1,1,0
360,37,3,0,4,0,0,0,1,0,0,114,1,999,0,0,0
361,53,2,1,4,0,0,0,0,0,0,179,1,999,0,0,0
362,33,1,2,1,0,1,0,0,0,3,109,1,999,0,0,0
363,32,2,1,6,0,2,2,1,3,4,107,1,999,0,0,0
364,49,4,0,3,0,1,0,0,0,0,146,6,999,0,0,0
365,49,3,0,1,0,0,0,0,0,0,560,4,999,0,0,0
366,47,6,0,6,0,1,0,1,9,3,281,2,999,1,1,0
367,46,3,0,3,1,0,0,0,0,2,406,2,999,0,0,0
368,41,6,2,3,0,1,1,0,0,0,240,2,999,0,0,0
369,45,2,0,1,0,1,0,0,1,1,174,2,999,0,0,0
370,39,3,2,3,0,2,2,0,1,4,92,1,999,0,0,0
371,39,4,0,4,0,1,0,1,0,3,1254,3,999,1,1,0
372,48,1,0,4,1,1,0,1,2,3,55,5,999,0,0,0
373,30,2,1,1,0,0,0,1,0,2,698,2,999,1,1,1
374,58,4,2,6,1,1,0,1,3,3,86,2,999,0,0,0
375,56,3,1,0,1,0,1,1,5,1,307,1,999,0,0,0
376,25,3,0,1,0,0,1,0,1,2,29,1,999,0,0,0
377,79,5,0,1,0,1,1,1,1,1,163,1,999,1,1,0
378,40,2,2,1,0,0,1,1,2,1,270,5,999,0,0,0
379,51,4,0,4,0,1,1,1,2,3,137,4,999,0,0,0
380,54,6,2,6,0,1,0,0,0,0,106,3,999,0,0,0
381,62,4,0,5,0,0,0,1,7,0,105,2,999,0,0,0
382,29,2,1,1,0,0,0,0,0,1,110,2,999,0,0,0
383,39,2,0,3,1,0,0,1,3,3,371,2,999,0,0,0
384,25,4,1,4,0,1,0,1,2,1,134,4,999,0,0,0
385,44,6,0,6,0,0,0,1,8,0,44,2,999,0,0,0
386,50,4,0,4,0,0,0,0,0,3,103,3,999,0,0,0
387,36,6,0,1,0,0,0,1,5,2,356,2,999,0,0,0
388,33,4,0,4,0,1,0,0,4,2,171,1,999,0,0,1
389,33,2,0,6,0,1,1,1,3,3,1834,1,999,0,0,0
390,52,2,0,1,0,2,2,0,0,2,132,1,999,0,0,0
391,56,6,0,6,0,1,1,1,1,1,673,1,999,0,0,0
392,46,1,0,3,1,1,0,1,3,2,226,4,999,0,0,0
393,32,6,0,1,0,0,1,1,5,0,256,2,999,0,0,0
394,39,2,0,6,0,0,0,1,5,1,108,1,999,0,0,0
395,36,6,0,6,0,1,0,1,5,2,94,1,999,0,0,0
396,55,2,0,1,0,1,0,0,0,2,72,1,999,0,0,0
397,40,3,0,0,0,0,0,1,0,0,15,7,999,0,0,0
398,31,11,0,1,0,0,0,1,2,3,149,1,999,0,0,0
399,43,3,0,0,1,1,0,0,0,1,103,3,999,0,0,0
400,88,5,2,0,0,1,0,1,7,2,85,1,999,0,0,0
401,30,4,1,6,0,1,0,0,1,0,342,1,999,0,0,0
402,35,1,0,1,0,0,0,1,3,1,63,1,999,0,0,0
403,41,2,0,1,0,0,0,0,0,2,254,2,999,0,0,0
404,32,1,0,1,0,0,0,0,5,3,35,1,999,0,0,0
405,29,1,1,1,0,0,0,0,1,3,240,3,999,0,0,0
406,27,2,0,1,0,0,0,1,0,3,643,1,999,0,0,0
407,61,5,2,6,0,0,0,1,8,3,949,2,999,0,0,1
